"12:05A ","12:06A ","12:07A ","12:08A ","12:14A ","12:15A ","12:18A ","12:20A ","12:22A ","12:24A ","12:27A ","12:28A ","12:31A "
"12:41P ","12:42P ","12:43P ","12:44P ","12:50P ","12:51P ","12:54P ","12:56P ","12:58P ","1:00P ","1:03P ","1:04P ","1:07P "
"12:53P ","12:54P ","12:55P ","12:56P ","1:02P ","1:03P ","1:06P ","1:08P ","1:10P ","1:12P ","1:15P ","1:16P ","1:19P "
"1:05P ","1:06P ","1:07P ","1:08P ","1:14P ","1:15P ","1:18P ","1:20P ","1:22P ","1:24P ","1:27P ","1:28P ","1:31P "
"1:17P ","1:18P ","1:19P ","1:20P ","1:26P ","1:27P ","1:30P ","1:32P ","1:34P ","1:36P ","1:39P ","1:40P ","1:43P "
"1:29P ","1:30P ","1:31P ","1:32P ","1:38P ","1:39P ","1:42P ","1:44P ","1:46P ","1:48P ","1:51P ","1:52P ","1:55P "
"1:41P ","1:42P ","1:43P ","1:44P ","1:50P ","1:51P ","1:54P ","1:56P ","1:58P ","2:00P ","2:03P ","2:04P ","2:07P "
"1:53P ","1:54P ","1:55P ","1:56P ","2:02P ","2:03P ","2:06P ","2:08P ","2:10P ","2:12P ","2:15P ","2:16P ","2:19P "
"2:04P ","2:05P ","2:06P ","2:07P ","2:13P ","2:14P ","2:17P ","2:19P ","2:21P ","2:23P ","2:26P ","2:27P ","2:30P "
"2:14P ","2:15P ","2:16P ","2:17P ","2:23P ","2:24P ","2:27P ","2:29P ","2:31P ","2:33P ","2:36P ","2:37P ","2:40P "
"2:24P ","2:25P ","2:26P ","2:27P ","2:33P ","2:34P ","2:37P ","2:39P ","2:41P ","2:43P ","2:46P ","2:47P ","2:50P "
"2:34P ","2:35P ","2:36P ","2:37P ","2:43P ","2:44P ","2:47P ","2:49P ","2:51P ","2:53P ","2:56P ","2:57P ","3:00P "
"2:43P ","2:44P ","2:45P ","2:46P ","2:52P ","2:53P ","2:56P ","2:58P ","3:00P ","3:02P ","3:05P ","3:06P ","3:09P "
"2:54P ","2:55P ","2:56P ","2:57P ","3:03P ","3:04P ","3:07P ","3:09P ","3:11P ","3:13P ","3:16P ","3:17P ","3:20P "
"3:06P ","3:07P ","3:08P ","3:09P ","3:15P ","3:16P ","3:19P ","3:21P ","3:23P ","3:25P ","3:28P ","3:29P ","3:32P "
"3:18P ","3:19P ","3:20P ","3:21P ","3:27P ","3:28P ","3:31P ","3:33P ","3:35P ","3:37P ","3:40P ","3:41P ","3:44P "
"3:28P ","3:29P ","3:30P ","3:31P ","3:37P ","3:38P ","3:41P ","3:43P ","3:45P ","3:47P ","3:50P ","3:51P ","3:54P "
"3:38P ","3:39P ","3:40P ","3:41P ","3:47P ","3:48P ","3:51P ","3:53P ","3:55P ","3:57P ","4:00P ","4:01P ","4:04P "
"3:48P ","3:49P ","3:50P ","3:51P ","3:57P ","3:58P ","4:01P ","4:03P ","4:05P ","4:07P ","4:10P ","4:11P ","4:14P "
"3:58P ","3:59P ","4:00P ","4:01P ","4:07P ","4:08P ","4:11P ","4:13P ","4:15P ","4:17P ","4:20P ","4:21P ","4:24P "
"4:08P ","4:09P ","4:10P ","4:11P ","4:17P ","4:18P ","4:21P ","4:23P ","4:25P ","4:27P ","4:30P ","4:31P ","4:34P "
"4:17P ","4:18P ","4:19P ","4:20P ","4:26P ","4:27P ","4:30P ","4:32P ","4:34P ","4:36P ","4:39P ","4:40P ","4:43P "
"4:25P ","4:26P ","4:27P ","4:28P ","4:34P ","4:35P ","4:38P ","4:40P ","4:42P ","4:44P ","4:47P ","4:48P ","4:51P "
"4:32P ","4:33P ","4:34P ","4:35P ","4:41P ","4:42P ","4:45P ","4:47P ","4:49P ","4:51P ","4:54P ","4:55P ","4:58P "
"4:38P ","4:39P ","4:40P ","4:41P ","4:47P ","4:48P ","4:51P ","4:53P ","4:55P ","4:57P ","5:00P ","5:01P ","5:04P "
"4:43P ","4:44P ","4:45P ","4:46P ","4:52P ","4:53P ","4:56P ","4:58P ","5:00P ","5:02P ","5:05P ","5:06P ","5:09P "
"4:48P ","4:49P ","4:50P ","4:51P ","4:57P ","4:58P ","5:01P ","5:03P ","5:05P ","5:07P ","5:10P ","5:11P ","5:14P "
"4:53P ","4:54P ","4:55P ","4:56P ","5:02P ","5:03P ","5:06P ","5:08P ","5:10P ","5:12P ","5:15P ","5:16P ","5:19P "
"4:57P ","4:58P ","4:59P ","5:00P ","5:06P ","5:07P ","5:10P ","5:12P ","5:14P ","5:16P ","5:19P ","5:20P ","5:23P "
"5:01P ","5:02P ","5:03P ","5:04P ","5:10P ","5:11P ","5:14P ","5:16P ","5:18P ","5:20P ","5:23P ","5:24P ","5:27P "
"5:05P ","5:06P ","5:07P ","5:08P ","5:14P ","5:15P ","5:18P ","5:20P ","5:22P ","5:24P ","5:27P ","5:28P ","5:31P "
"5:09P ","5:10P ","5:11P ","5:12P ","5:18P ","5:19P ","5:22P ","5:24P ","5:26P ","5:28P ","5:31P ","5:32P ","5:35P "
"5:13P ","5:14P ","5:15P ","5:16P ","5:22P ","5:23P ","5:26P ","5:28P ","5:30P ","5:32P ","5:35P ","5:36P ","5:39P "
"5:17P ","5:18P ","5:19P ","5:20P ","5:26P ","5:27P ","5:30P ","5:32P ","5:34P ","5:36P ","5:39P ","5:40P ","5:43P "
"5:21P ","5:22P ","5:23P ","5:24P ","5:30P ","5:31P ","5:34P ","5:36P ","5:38P ","5:40P ","5:43P ","5:44P ","5:47P "
"5:25P ","5:26P ","5:27P ","5:28P ","5:34P ","5:35P ","5:38P ","5:40P ","5:42P ","5:44P ","5:47P ","5:48P ","5:51P "
"5:33P ","5:34P ","5:35P ","5:36P ","5:42P ","5:43P ","5:46P ","5:48P ","5:50P ","5:52P ","5:55P ","5:56P ","5:59P "
"5:37P ","5:38P ","5:39P ","5:40P ","5:46P ","5:47P ","5:50P ","5:52P ","5:54P ","5:56P ","5:59P ","6:00P ","6:03P "
"5:42P ","5:43P ","5:44P ","5:45P ","5:51P ","5:52P ","5:55P ","5:57P ","5:59P ","6:01P ","6:04P ","6:05P ","6:08P "
"5:47P ","5:48P ","5:49P ","5:50P ","5:56P ","5:57P ","6:00P ","6:02P ","6:04P ","6:06P ","6:09P ","6:10P ","6:13P "
"5:53P ","5:54P ","5:55P ","5:56P ","6:02P ","6:03P ","6:06P ","6:08P ","6:10P ","6:12P ","6:15P ","6:16P ","6:19P "
"6:00P ","6:01P ","6:02P ","6:03P ","6:09P ","6:10P ","6:13P ","6:15P ","6:17P ","6:19P ","6:22P ","6:23P ","6:26P "
"6:08P ","6:09P ","6:10P ","6:11P ","6:17P ","6:18P ","6:21P ","6:23P ","6:25P ","6:27P ","6:30P ","6:31P ","6:34P "
"6:18P ","6:19P ","6:20P ","6:21P ","6:27P ","6:28P ","6:31P ","6:33P ","6:35P ","6:37P ","6:40P ","6:41P ","6:44P "
"6:30P ","6:31P ","6:32P ","6:33P ","6:39P ","6:40P ","6:43P ","6:45P ","6:47P ","6:49P ","6:52P ","6:53P ","6:56P "
"6:42P ","6:43P ","6:44P ","6:45P ","6:51P ","6:52P ","6:55P ","6:57P ","6:59P ","7:01P ","7:04P ","7:05P ","7:08P "
"6:54P ","6:55P ","6:56P ","6:57P ","7:03P ","7:04P ","7:07P ","7:09P ","7:11P ","7:13P ","7:16P ","7:17P ","7:20P "
"7:06P ","7:07P ","7:08P ","7:09P ","7:15P ","7:16P ","7:19P ","7:21P ","7:23P ","7:25P ","7:28P ","7:29P ","7:32P "
"7:18P ","7:19P ","7:20P ","7:21P ","7:27P ","7:28P ","7:31P ","7:33P ","7:35P ","7:37P ","7:40P ","7:41P ","7:44P "
"7:30P ","7:31P ","7:32P ","7:33P ","7:39P ","7:40P ","7:43P ","7:45P ","7:47P ","7:49P ","7:52P ","7:53P ","7:56P "
"7:45P ","7:46P ","7:47P ","7:48P ","7:54P ","7:55P ","7:58P ","8:00P ","8:02P ","8:04P ","8:07P ","8:08P ","8:11P "
"8:00P ","8:01P ","8:02P ","8:03P ","8:09P ","8:10P ","8:13P ","8:15P ","8:17P ","8:19P ","8:22P ","8:23P ","8:26P "
"8:20P ","8:21P ","8:22P ","8:23P ","8:29P ","8:30P ","8:33P ","8:35P ","8:37P ","8:39P ","8:42P ","8:43P ","8:46P "
"8:40P ","8:41P ","8:42P ","8:43P ","8:49P ","8:50P ","8:53P ","8:55P ","8:57P ","8:59P ","9:02P ","9:03P ","9:06P "
"9:00P ","9:01P ","9:02P ","9:03P ","9:09P ","9:10P ","9:13P ","9:15P ","9:17P ","9:19P ","9:22P ","9:23P ","9:26P "
"9:20P ","9:21P ","9:22P ","9:23P ","9:29P ","9:30P ","9:33P ","9:35P ","9:37P ","9:39P ","9:42P ","9:43P ","9:46P "
"9:40P ","9:41P ","9:42P ","9:43P ","9:49P ","9:50P ","9:53P ","9:55P ","9:57P ","9:59P ","10:02P ","10:03P ","10:06P "
"10:00P ","10:01P ","10:02P ","10:03P ","10:09P ","10:10P ","10:13P ","10:15P ","10:17P ","10:19P ","10:22P ","10:23P ","10:26P "
"10:20P ","10:21P ","10:22P ","10:23P ","10:29P ","10:30P ","10:33P ","10:35P ","10:37P ","10:39P ","10:42P ","10:43P ","10:46P "
"10:40P ","10:41P ","10:42P ","10:43P ","10:49P ","10:50P ","10:53P ","10:55P ","10:57P ","10:59P ","11:02P ","11:03P ","11:06P "
"11:00P ","11:01P ","11:02P ","11:03P ","11:09P ","11:10P ","11:13P ","11:15P ","11:17P ","11:19P ","11:22P ","11:23P ","11:26P "
"11:20P ","11:21P ","11:22P ","11:23P ","11:29P ","11:30P ","11:33P ","11:35P ","11:37P ","11:39P ","11:42P ","11:43P ","11:46P "
"11:40P ","11:41P ","11:42P ","11:43P ","11:49P ","11:50P ","11:53P ","11:55P ","11:57P ","11:59P ","12:02 A ","12:03 A ","12:06 A"
