"12:05A","12:06A","12:07A","12:09A","12:14A","12:16A","12:19A","12:21A","12:23A","12:24A","12:27A","12:28A","12:31A"
"8:32P","8:33P","8:34P","8:36P","8:41P","8:43P","8:46P","8:48P","8:50P","8:51P","8:54P","8:55P","8:58P"
"8:52P","8:53P","8:54P","8:56P","9:01P","9:03P","9:06P","9:08P","9:10P","9:11P","9:14P","9:15P","9:18P"
"9:12P","9:13P","9:14P","9:16P","9:21P","9:23P","9:26P","9:28P","9:30P","9:31P","9:34P","9:35P","9:38P"
"9:32P","9:33P","9:34P","9:36P","9:41P","9:43P","9:46P","9:48P","9:50P","9:51P","9:54P","9:55P","9:58P"
"9:52P","9:53P","9:54P","9:56P","10:01P","10:03P","10:06P","10:08P","10:10P","10:11P","10:14P","10:15P","10:18P"
"10:12P","10:13P","10:14P","10:16P","10:21P","10:23P","10:26P","10:28P","10:30P","10:31P","10:34P","10:35P","10:38P"
"10:32P","10:33P","10:34P","10:36P","10:41P","10:43P","10:46P","10:48P","10:50P","10:51P","10:54P","10:55P","10:58P"
"10:52P","10:53P","10:54P","10:56P","11:01P","11:03P","11:06P","11:08P","11:10P","11:11P","11:14P","11:15P","11:18P"
"11:12P","11:13P","11:14P","11:16P","11:21P","11:23P","11:26P","11:28P","11:30P","11:31P","11:34P","11:35P","11:38P"
"11:32P","11:33P","11:34P","11:36P","11:41P","11:43P","11:46P","11:48P","11:50P","11:51P","11:54P","11:55P","11:58P"
"11:52P","11:53P","11:54P","11:56P","12:01A","12:03A","12:06A","12:08A","12:10A","12:11A","12:14A","12:15A","12:18A"
