"12:05A","12:06A","12:07A","12:09A","12:15A","12:16A","12:19A","12:21A","12:23A","12:25A","12:28A","12:30A","12:33A"
"3:20P","3:21P","3:22P","3:24P","3:30P","3:31P","3:34P","3:36P","3:38P","3:40P","3:43P","3:45P","3:48P"
"3:30P","3:31P","3:32P","3:34P","3:40P","3:41P","3:44P","3:46P","3:48P","3:50P","3:53P","3:55P","3:58P"
"3:40P","3:41P","3:42P","3:44P","3:50P","3:51P","3:54P","3:56P","3:58P","4:00P","4:03P","4:05P","4:08P"
"3:50P","3:51P","3:52P","3:54P","4:00P","4:01P","4:04P","4:06P","4:08P","4:10P","4:13P","4:15P","4:18P"
"4:00P","4:01P","4:02P","4:04P","4:10P","4:11P","4:14P","4:16P","4:18P","4:20P","4:23P","4:25P","4:28P"
"4:10P","4:11P","4:12P","4:14P","4:20P","4:21P","4:24P","4:26P","4:28P","4:30P","4:33P","4:35P","4:38P"
"4:20P","4:21P","4:22P","4:24P","4:30P","4:31P","4:34P","4:36P","4:38P","4:40P","4:43P","4:45P","4:48P"
"4:27P","4:28P","4:29P","4:31P","4:37P","4:38P","4:41P","4:43P","4:45P","4:47P","4:50P","4:52P","4:55P"
"4:34P","4:35P","4:36P","4:38P","4:44P","4:45P","4:48P","4:50P","4:52P","4:54P","4:57P","4:59P","5:02P"
"4:40P","4:41P","4:42P","4:44P","4:50P","4:51P","4:54P","4:56P","4:58P","5:00P","5:03P","5:05P","5:08P"
"4:46P","4:47P","4:48P","4:50P","4:56P","4:57P","5:00P","5:02P","5:04P","5:06P","5:09P","5:11P","5:14P"
"4:52P","4:53P","4:54P","4:56P","5:02P","5:03P","5:06P","5:08P","5:10P","5:12P","5:15P","5:17P","5:20P"
"4:57P","4:58P","4:59P","5:01P","5:07P","5:08P","5:11P","5:13P","5:15P","5:17P","5:20P","5:22P","5:25P"
"5:01P","5:02P","5:03P","5:05P","5:11P","5:12P","5:15P","5:17P","5:19P","5:21P","5:24P","5:26P","5:29P"
"5:06P","5:07P","5:08P","5:10P","5:16P","5:17P","5:20P","5:22P","5:24P","5:26P","5:29P","5:31P","5:34P"
"5:10P","5:11P","5:12P","5:14P","5:20P","5:21P","5:24P","5:26P","5:28P","5:30P","5:33P","5:35P","5:38P"
"5:14P","5:15P","5:16P","5:18P","5:24P","5:25P","5:28P","5:30P","5:32P","5:34P","5:37P","5:39P","5:42P"
"5:19P","5:20P","5:21P","5:23P","5:29P","5:30P","5:33P","5:35P","5:37P","5:39P","5:42P","5:44P","5:47P"
"5:23P","5:24P","5:25P","5:27P","5:33P","5:34P","5:37P","5:39P","5:41P","5:43P","5:46P","5:48P","5:51P"
"5:27P","5:28P","5:29P","5:31P","5:37P","5:38P","5:41P","5:43P","5:45P","5:47P","5:50P","5:52P","5:55P"
"5:35P","5:36P","5:37P","5:39P","5:45P","5:46P","5:49P","5:51P","5:53P","5:55P","5:58P","6:00P","6:03P"
"5:39P","5:40P","5:41P","5:43P","5:49P","5:50P","5:53P","5:55P","5:57P","5:59P","6:02P","6:04P","6:07P"
"5:46P","5:47P","5:48P","5:50P","5:56P","5:57P","6:00P","6:02P","6:04P","6:06P","6:09P","6:11P","6:14P"
"5:50P","5:51P","5:52P","5:54P","6:00P","6:01P","6:04P","6:06P","6:08P","6:10P","6:13P","6:15P","6:18P"
"5:55P","5:56P","5:57P","5:59P","6:05P","6:06P","6:09P","6:11P","6:13P","6:15P","6:18P","6:20P","6:23P"
"6:00P","6:01P","6:02P","6:04P","6:10P","6:11P","6:14P","6:16P","6:18P","6:20P","6:23P","6:25P","6:28P"
"6:10P","6:11P","6:12P","6:14P","6:20P","6:21P","6:24P","6:26P","6:28P","6:30P","6:33P","6:35P","6:38P"
"6:20P","6:21P","6:22P","6:24P","6:30P","6:31P","6:34P","6:36P","6:38P","6:40P","6:43P","6:45P","6:48P"
"6:32P","6:33P","6:34P","6:36P","6:42P","6:43P","6:46P","6:48P","6:50P","6:52P","6:55P","6:57P","7:00P"
"6:44P","6:45P","6:46P","6:48P","6:54P","6:55P","6:58P","7:00P","7:02P","7:04P","7:07P","7:09P","7:12P"
"6:56P","6:57P","6:58P","7:00P","7:06P","7:07P","7:10P","7:12P","7:14P","7:16P","7:19P","7:21P","7:24P"
"7:09P","7:10P","7:11P","7:13P","7:19P","7:20P","7:23P","7:25P","7:27P","7:29P","7:32P","7:34P","7:37P"
"7:20P","7:21P","7:22P","7:24P","7:30P","7:31P","7:34P","7:36P","7:38P","7:40P","7:43P","7:45P","7:48P"
"7:32P","7:33P","7:34P","7:36P","7:42P","7:43P","7:46P","7:48P","7:50P","7:52P","7:55P","7:57P","8:00P"
"7:47P","7:48P","7:49P","7:51P","7:57P","7:58P","8:01P","8:03P","8:05P","8:07P","8:10P","8:12P","8:15P"
"8:05P","8:06P","8:07P","8:09P","8:15P","8:16P","8:19P","8:21P","8:23P","8:25P","8:28P","8:30P","8:33P"
"8:22P","8:23P","8:24P","8:26P","8:32P","8:33P","8:36P","8:38P","8:40P","8:42P","8:45P","8:47P","8:50P"
"8:45P","8:46P","8:47P","8:49P","8:55P","8:56P","8:59P","9:01P","9:03P","9:05P","9:08P","9:10P","9:13P"
"9:02P","9:03P","9:04P","9:06P","9:12P","9:13P","9:16P","9:18P","9:20P","9:22P","9:25P","9:27P","9:30P"
"9:22P","9:23P","9:24P","9:26P","9:32P","9:33P","9:36P","9:38P","9:40P","9:42P","9:45P","9:47P","9:50P"
"9:42P","9:43P","9:44P","9:46P","9:52P","9:53P","9:56P","9:58P","10:00P","10:02P","10:05P","10:07P","10:10P"
"10:02P","10:03P","10:04P","10:06P","10:12P","10:13P","10:16P","10:18P","10:20P","10:22P","10:25P","10:27P","10:30P"
"10:22P","10:23P","10:24P","10:26P","10:32P","10:33P","10:36P","10:38P","10:40P","10:42P","10:45P","10:47P","10:50P"
"10:42P","10:43P","10:44P","10:46P","10:52P","10:53P","10:56P","10:58P","11:00P","11:02P","11:05P","11:07P","11:10P"
"11:02P","11:03P","11:04P","11:06P","11:12P","11:13P","11:16P","11:18P","11:20P","11:22P","11:25P","11:27P","11:30P"
"11:22P","11:23P","11:24P","11:26P","11:32P","11:33P","11:36P","11:38P","11:40P","11:42P","11:45P","11:47P","11:50P"
"11:42P","11:43P","11:44P","11:46P","11:52P","11:53P","11:56P","11:58P","12:00A","12:02A","12:05A","12:07A","12:10A"
