"12:05A","12:06A","12:07A","12:09A","12:15A","12:16A","12:19A","12:21A","12:23A","12:25A","12:28A","12:30A","12:33A"
"6:05P","6:06P","6:07P","6:09P","6:15P","6:16P","6:19P","6:21P","6:23P","6:25P","6:28P","6:30P","6:33P"
"6:10P","6:11P","6:12P","6:14P","6:20P","6:21P","6:24P","6:26P","6:28P","6:30P","6:33P","6:35P","6:38P"
"6:20P","6:21P","6:22P","6:24P","6:30P","6:31P","6:34P","6:36P","6:38P","6:40P","6:43P","6:45P","6:48P"
"6:47P","6:48P","6:49P","6:51P","6:57P","6:58P","7:01P","7:03P","7:05P","7:07P","7:10P","7:12P","7:15P"
"7:13P","7:14P","7:15P","7:17P","7:23P","7:24P","7:27P","7:29P","7:31P","7:33P","7:36P","7:38P","7:41P"
"7:39P","7:40P","7:41P","7:43P","7:49P","7:50P","7:53P","7:55P","7:57P","7:59P","8:02P","8:04P","8:07P"
"8:05P","8:06P","8:07P","8:09P","8:15P","8:16P","8:19P","8:21P","8:23P","8:25P","8:28P","8:30P","8:33P"
"8:31P","8:32P","8:33P","8:35P","8:41P","8:42P","8:45P","8:47P","8:49P","8:51P","8:54P","8:56P","8:59P"
"8:57P","8:58P","8:59P","9:01P","9:07P","9:08P","9:11P","9:13P","9:15P","9:17P","9:20P","9:22P","9:25P"
"9:23P","9:24P","9:25P","9:27P","9:33P","9:34P","9:37P","9:39P","9:41P","9:43P","9:46P","9:48P","9:51P"
"9:49P","9:50P","9:51P","9:53P","9:59P","10:00P","10:03P","10:05P","10:07P","10:09P","10:12P","10:14P","10:17P"
"10:15P","10:16P","10:17P","10:19P","10:25P","10:26P","10:29P","10:31P","10:33P","10:35P","10:38P","10:40P","10:43P"
"10:41P","10:42P","10:43P","10:45P","10:51P","10:52P","10:55P","10:57P","10:59P","11:01P","11:04P","11:06P","11:09P"
"11:07P","11:08P","11:09P","11:11P","11:17P","11:18P","11:21P","11:23P","11:25P","11:27P","11:30P","11:32P","11:35P"
"11:33P","11:34P","11:35P","11:37P","11:43P","11:44P","11:47P","11:49P","11:51P","11:53P","11:56P","11:58P","12:01A"
