"12:05 A ","12:06 A ","12:07 A ","12:08 A ","12:14 A ","12:15 A ","12:18 A ","12:20 A ","12:22 A ","12:24 A ","12:27 A ","12:28 A ","12:31 A "
"6:50 A ","6:51 A ","6:52 A ","6:53 A ","6:59 A ","7:00 A ","7:03 A ","7:05 A ","7:07 A ","7:09 A ","7:12 A ","7:13 A ","7:16 A "
"6:59 A ","7:00 A ","7:01 A ","7:02 A ","7:08 A ","7:09 A ","7:12 A ","7:14 A ","7:16 A ","7:18 A ","7:21 A ","7:22 A ","7:25 A "
"7:09 A ","7:10 A ","7:11 A ","7:12 A ","7:18 A ","7:19 A ","7:22 A ","7:24 A ","7:26 A ","7:28 A ","7:31 A ","7:32 A ","7:35 A "
"7:18 A ","7:19 A ","7:20 A ","7:21 A ","7:27 A ","7:28 A ","7:31 A ","7:33 A ","7:35 A ","7:37 A ","7:40 A ","7:41 A ","7:44 A "
"7:25 A ","7:26 A ","7:27 A ","7:28 A ","7:34 A ","7:35 A ","7:38 A ","7:40 A ","7:42 A ","7:44 A ","7:47 A ","7:48 A ","7:51 A "
"7:41 A ","7:42 A ","7:43 A ","7:44 A ","7:50 A ","7:51 A ","7:54 A ","7:56 A ","7:58 A ","8:00 A ","8:03 A ","8:04 A ","8:07 A "
"7:56 A ","7:57 A ","7:58 A ","7:59 A ","8:05 A ","8:06 A ","8:09 A ","8:11 A ","8:13 A ","8:15 A ","8:18 A ","8:19 A ","8:22 A "
"8:03 A ","8:04 A ","8:05 A ","8:06 A ","8:12 A ","8:13 A ","8:16 A ","8:18 A ","8:20 A ","8:22 A ","8:25 A ","8:26 A ","8:29 A "
"8:11 A ","8:12 A ","8:13 A ","8:14 A ","8:20 A ","8:21 A ","8:24 A ","8:26 A ","8:28 A ","8:30 A ","8:33 A ","8:34 A ","8:37 A "
"8:20 A ","8:21 A ","8:22 A ","8:23 A ","8:29 A ","8:30 A ","8:33 A ","8:35 A ","8:37 A ","8:39 A ","8:42 A ","8:43 A ","8:46 A "
"8:27 A ","8:28 A ","8:29 A ","8:30 A ","8:36 A ","8:37 A ","8:40 A ","8:42 A ","8:44 A ","8:46 A ","8:49 A ","8:50 A ","8:53 A "
"8:34 A ","8:35 A ","8:36 A ","8:37 A ","8:43 A ","8:44 A ","8:47 A ","8:49 A ","8:51 A ","8:53 A ","8:56 A ","8:57 A ","9:00 A "
"8:42 A ","8:43 A ","8:44 A ","8:45 A ","8:51 A ","8:52 A ","8:55 A ","8:57 A ","8:59 A ","9:01 A ","9:04 A ","9:05 A ","9:08 A "
"8:53 A ","8:54 A ","8:55 A ","8:56 A ","9:02 A ","9:03 A ","9:06 A ","9:08 A ","9:10 A ","9:12 A ","9:15 A ","9:16 A ","9:19 A "
"9:05 A ","9:06 A ","9:07 A ","9:08 A ","9:14 A ","9:15 A ","9:18 A ","9:20 A ","9:22 A ","9:24 A ","9:27 A ","9:28 A ","9:31 A "
"9:20 A ","9:21 A ","9:22 A ","9:23 A ","9:29 A ","9:30 A ","9:33 A ","9:35 A ","9:37 A ","9:39 A ","9:42 A ","9:43 A ","9:46 A "
"9:31 A ","9:32 A ","9:33 A ","9:34 A ","9:40 A ","9:41 A ","9:44 A ","9:46 A ","9:48 A ","9:50 A ","9:53 A ","9:54 A ","9:57 A "
"9:42 A ","9:43 A ","9:44 A ","9:45 A ","9:51 A ","9:52 A ","9:55 A ","9:57 A ","9:59 A ","10:01 A ","10:04 A ","10:05 A ","10:08 A "
"9:54 A ","9:55 A ","9:56 A ","9:57 A ","10:03 A ","10:04 A ","10:07 A ","10:09 A ","10:11 A ","10:13 A ","10:16 A ","10:17 A ","10:20 A "
"10:06 A ","10:07 A ","10:08 A ","10:09 A ","10:15 A ","10:16 A ","10:19 A ","10:21 A ","10:23 A ","10:25 A ","10:28 A ","10:29 A ","10:32 A "
"10:18 A ","10:19 A ","10:20 A ","10:21 A ","10:27 A ","10:28 A ","10:31 A ","10:33 A ","10:35 A ","10:37 A ","10:40 A ","10:41 A ","10:44 A "
"10:29 A ","10:30 A ","10:31 A ","10:32 A ","10:38 A ","10:39 A ","10:42 A ","10:44 A ","10:46 A ","10:48 A ","10:51 A ","10:52 A ","10:55 A "
"10:41 A ","10:42 A ","10:43 A ","10:44 A ","10:50 A ","10:51 A ","10:54 A ","10:56 A ","10:58 A ","11:00 A ","11:03 A ","11:04 A ","11:07 A "
"10:53 A ","10:54 A ","10:55 A ","10:56 A ","11:02 A ","11:03 A ","11:06 A ","11:08 A ","11:10 A ","11:12 A ","11:15 A ","11:16 A ","11:19 A "
"11:05 A ","11:06 A ","11:07 A ","11:08 A ","11:14 A ","11:15 A ","11:18 A ","11:20 A ","11:22 A ","11:24 A ","11:27 A ","11:28 A ","11:31 A "
"11:17 A ","11:18 A ","11:19 A ","11:20 A ","11:26 A ","11:27 A ","11:30 A ","11:32 A ","11:34 A ","11:36 A ","11:39 A ","11:40 A ","11:43 A "
"11:29 A ","11:30 A ","11:31 A ","11:32 A ","11:38 A ","11:39 A ","11:42 A ","11:44 A ","11:46 A ","11:48 A ","11:51 A ","11:52 A ","11:55 A "
"11:41 A ","11:42 A ","11:43 A ","11:44 A ","11:50 A ","11:51 A ","11:54 A ","11:56 A ","11:58 A ","12:00 P ","12:03 P ","12:04 P ","12:07 P "
"11:53 A ","11:54 A ","11:55 A ","11:56 A ","12:02 P ","12:03 P ","12:06 P ","12:08 P ","12:10 P ","12:12 P ","12:15 P ","12:16 P ","12:19 P "
"12:05 P ","12:06 P ","12:07 P ","12:08 P ","12:14 P ","12:15 P ","12:18 P ","12:20 P ","12:22 P ","12:24 P ","12:27 P ","12:28 P ","12:31 P "
"12:17 P ","12:18 P ","12:19 P ","12:20 P ","12:26 P ","12:27 P ","12:30 P ","12:32 P ","12:34 P ","12:36 P ","12:39 P ","12:40 P ","12:43 P "
"12:29 P ","12:30 P ","12:31 P ","12:32 P ","12:38 P ","12:39 P ","12:42 P ","12:44 P ","12:46 P ","12:48 P ","12:51 P ","12:52 P ","12:55 P "
"12:41 P ","12:42 P ","12:43 P ","12:44 P ","12:50 P ","12:51 P ","12:54 P ","12:56 P ","12:58 P ","1:00 P ","1:03 P ","1:04 P ","1:07 P "
"12:53 P ","12:54 P ","12:55 P ","12:56 P ","1:02 P ","1:03 P ","1:06 P ","1:08 P ","1:10 P ","1:12 P ","1:15 P ","1:16 P ","1:19 P "
"1:05 P ","1:06 P ","1:07 P ","1:08 P ","1:14 P ","1:15 P ","1:18 P ","1:20 P ","1:22 P ","1:24 P ","1:27 P ","1:28 P ","1:31 P "
"1:17 P ","1:18 P ","1:19 P ","1:20 P ","1:26 P ","1:27 P ","1:30 P ","1:32 P ","1:34 P ","1:36 P ","1:39 P ","1:40 P ","1:43 P "
"1:29 P ","1:30 P ","1:31 P ","1:32 P ","1:38 P ","1:39 P ","1:42 P ","1:44 P ","1:46 P ","1:48 P ","1:51 P ","1:52 P ","1:55 P "
"1:41 P ","1:42 P ","1:43 P ","1:44 P ","1:50 P ","1:51 P ","1:54 P ","1:56 P ","1:58 P ","2:00 P ","2:03 P ","2:04 P ","2:07 P "
"1:53 P ","1:54 P ","1:55 P ","1:56 P ","2:02 P ","2:03 P ","2:06 P ","2:08 P ","2:10 P ","2:12 P ","2:15 P ","2:16 P ","2:19 P "
"2:04 P ","2:05 P ","2:06 P ","2:07 P ","2:13 P ","2:14 P ","2:17 P ","2:19 P ","2:21 P ","2:23 P ","2:26 P ","2:27 P ","2:30 P "
"2:14 P ","2:15 P ","2:16 P ","2:17 P ","2:23 P ","2:24 P ","2:27 P ","2:29 P ","2:31 P ","2:33 P ","2:36 P ","2:37 P ","2:40 P "
"2:24 P ","2:25 P ","2:26 P ","2:27 P ","2:33 P ","2:34 P ","2:37 P ","2:39 P ","2:41 P ","2:43 P ","2:46 P ","2:47 P ","2:50 P "
"2:34 P ","2:35 P ","2:36 P ","2:37 P ","2:43 P ","2:44 P ","2:47 P ","2:49 P ","2:51 P ","2:53 P ","2:56 P ","2:57 P ","3:00 P "
"2:43 P ","2:44 P ","2:45 P ","2:46 P ","2:52 P ","2:53 P ","2:56 P ","2:58 P ","3:00 P ","3:02 P ","3:05 P ","3:06 P ","3:09 P "
"2:54 P ","2:55 P ","2:56 P ","2:57 P ","3:03 P ","3:04 P ","3:07 P ","3:09 P ","3:11 P ","3:13 P ","3:16 P ","3:17 P ","3:20 P "
"3:06 P ","3:07 P ","3:08 P ","3:09 P ","3:15 P ","3:16 P ","3:19 P ","3:21 P ","3:23 P ","3:25 P ","3:28 P ","3:29 P ","3:32 P "
"3:18 P ","3:19 P ","3:20 P ","3:21 P ","3:27 P ","3:28 P ","3:31 P ","3:33 P ","3:35 P ","3:37 P ","3:40 P ","3:41 P ","3:44 P "
"3:28 P ","3:29 P ","3:30 P ","3:31 P ","3:37 P ","3:38 P ","3:41 P ","3:43 P ","3:45 P ","3:47 P ","3:50 P ","3:51 P ","3:54 P "
"3:38 P ","3:39 P ","3:40 P ","3:41 P ","3:47 P ","3:48 P ","3:51 P ","3:53 P ","3:55 P ","3:57 P ","4:00 P ","4:01 P ","4:04 P "
"3:48 P ","3:49 P ","3:50 P ","3:51 P ","3:57 P ","3:58 P ","4:01 P ","4:03 P ","4:05 P ","4:07 P ","4:10 P ","4:11 P ","4:14 P "
"3:58 P ","3:59 P ","4:00 P ","4:01 P ","4:07 P ","4:08 P ","4:11 P ","4:13 P ","4:15 P ","4:17 P ","4:20 P ","4:21 P ","4:24 P "
"4:08 P ","4:09 P ","4:10 P ","4:11 P ","4:17 P ","4:18 P ","4:21 P ","4:23 P ","4:25 P ","4:27 P ","4:30 P ","4:31 P ","4:34 P "
"4:17 P ","4:18 P ","4:19 P ","4:20 P ","4:26 P ","4:27 P ","4:30 P ","4:32 P ","4:34 P ","4:36 P ","4:39 P ","4:40 P ","4:43 P "
"4:25 P ","4:26 P ","4:27 P ","4:28 P ","4:34 P ","4:35 P ","4:38 P ","4:40 P ","4:42 P ","4:44 P ","4:47 P ","4:48 P ","4:51 P "
"4:32 P ","4:33 P ","4:34 P ","4:35 P ","4:41 P ","4:42 P ","4:45 P ","4:47 P ","4:49 P ","4:51 P ","4:54 P ","4:55 P ","4:58 P "
"4:38 P ","4:39 P ","4:40 P ","4:41 P ","4:47 P ","4:48 P ","4:51 P ","4:53 P ","4:55 P ","4:57 P ","5:00 P ","5:01 P ","5:04 P "
"4:43 P ","4:44 P ","4:45 P ","4:46 P ","4:52 P ","4:53 P ","4:56 P ","4:58 P ","5:00 P ","5:02 P ","5:05 P ","5:06 P ","5:09 P "
"4:48 P ","4:49 P ","4:50 P ","4:51 P ","4:57 P ","4:58 P ","5:01 P ","5:03 P ","5:05 P ","5:07 P ","5:10 P ","5:11 P ","5:14 P "
"4:53 P ","4:54 P ","4:55 P ","4:56 P ","5:02 P ","5:03 P ","5:06 P ","5:08 P ","5:10 P ","5:12 P ","5:15 P ","5:16 P ","5:19 P "
"4:57 P ","4:58 P ","4:59 P ","5:00 P ","5:06 P ","5:07 P ","5:10 P ","5:12 P ","5:14 P ","5:16 P ","5:19 P ","5:20 P ","5:23 P "
"5:01 P ","5:02 P ","5:03 P ","5:04 P ","5:10 P ","5:11 P ","5:14 P ","5:16 P ","5:18 P ","5:20 P ","5:23 P ","5:24 P ","5:27 P "
"5:05 P ","5:06 P ","5:07 P ","5:08 P ","5:14 P ","5:15 P ","5:18 P ","5:20 P ","5:22 P ","5:24 P ","5:27 P ","5:28 P ","5:31 P "
"5:09 P ","5:10 P ","5:11 P ","5:12 P ","5:18 P ","5:19 P ","5:22 P ","5:24 P ","5:26 P ","5:28 P ","5:31 P ","5:32 P ","5:35 P "
"5:13 P ","5:14 P ","5:15 P ","5:16 P ","5:22 P ","5:23 P ","5:26 P ","5:28 P ","5:30 P ","5:32 P ","5:35 P ","5:36 P ","5:39 P "
"5:17 P ","5:18 P ","5:19 P ","5:20 P ","5:26 P ","5:27 P ","5:30 P ","5:32 P ","5:34 P ","5:36 P ","5:39 P ","5:40 P ","5:43 P "
"5:21 P ","5:22 P ","5:23 P ","5:24 P ","5:30 P ","5:31 P ","5:34 P ","5:36 P ","5:38 P ","5:40 P ","5:43 P ","5:44 P ","5:47 P "
"5:25 P ","5:26 P ","5:27 P ","5:28 P ","5:34 P ","5:35 P ","5:38 P ","5:40 P ","5:42 P ","5:44 P ","5:47 P ","5:48 P ","5:51 P "
"5:29 P ","5:30 P ","5:31 P ","5:32 P ","5:38 P ","5:39 P ","5:42 P ","5:44 P ","5:46 P ","5:48 P ","5:51 P ","5:52 P ","5:55 P "
"5:33 P ","5:34 P ","5:35 P ","5:36 P ","5:42 P ","5:43 P ","5:46 P ","5:48 P ","5:50 P ","5:52 P ","5:55 P ","5:56 P ","5:59 P "
"5:37 P ","5:38 P ","5:39 P ","5:40 P ","5:46 P ","5:47 P ","5:50 P ","5:52 P ","5:54 P ","5:56 P ","5:59 P ","6:00 P ","6:03 P "
"5:42 P ","5:43 P ","5:44 P ","5:45 P ","5:51 P ","5:52 P ","5:55 P ","5:57 P ","5:59 P ","6:01 P ","6:04 P ","6:05 P ","6:08 P "
"5:47 P ","5:48 P ","5:49 P ","5:50 P ","5:56 P ","5:57 P ","6:00 P ","6:02 P ","6:04 P ","6:06 P ","6:09 P ","6:10 P ","6:13 P "
"5:53 P ","5:54 P ","5:55 P ","5:56 P ","6:02 P ","6:03 P ","6:06 P ","6:08 P ","6:10 P ","6:12 P ","6:15 P ","6:16 P ","6:19 P "
"6:00 P ","6:01 P ","6:02 P ","6:03 P ","6:09 P ","6:10 P ","6:13 P ","6:15 P ","6:17 P ","6:19 P ","6:22 P ","6:23 P ","6:26 P "
"6:08 P ","6:09 P ","6:10 P ","6:11 P ","6:17 P ","6:18 P ","6:21 P ","6:23 P ","6:25 P ","6:27 P ","6:30 P ","6:31 P ","6:34 P "
"6:18 P ","6:19 P ","6:20 P ","6:21 P ","6:27 P ","6:28 P ","6:31 P ","6:33 P ","6:35 P ","6:37 P ","6:40 P ","6:41 P ","6:44 P "
"6:30 P ","6:31 P ","6:32 P ","6:33 P ","6:39 P ","6:40 P ","6:43 P ","6:45 P ","6:47 P ","6:49 P ","6:52 P ","6:53 P ","6:56 P "
"6:42 P ","6:43 P ","6:44 P ","6:45 P ","6:51 P ","6:52 P ","6:55 P ","6:57 P ","6:59 P ","7:01 P ","7:04 P ","7:05 P ","7:08 P "
"6:54 P ","6:55 P ","6:56 P ","6:57 P ","7:03 P ","7:04 P ","7:07 P ","7:09 P ","7:11 P ","7:13 P ","7:16 P ","7:17 P ","7:20 P "
"7:06 P ","7:07 P ","7:08 P ","7:09 P ","7:15 P ","7:16 P ","7:19 P ","7:21 P ","7:23 P ","7:25 P ","7:28 P ","7:29 P ","7:32 P "
"7:18 P ","7:19 P ","7:20 P ","7:21 P ","7:27 P ","7:28 P ","7:31 P ","7:33 P ","7:35 P ","7:37 P ","7:40 P ","7:41 P ","7:44 P "
"7:30 P ","7:31 P ","7:32 P ","7:33 P ","7:39 P ","7:40 P ","7:43 P ","7:45 P ","7:47 P ","7:49 P ","7:52 P ","7:53 P ","7:56 P "
"7:45 P ","7:46 P ","7:47 P ","7:48 P ","7:54 P ","7:55 P ","7:58 P ","8:00 P ","8:02 P ","8:04 P ","8:07 P ","8:08 P ","8:11 P "
"8:00 P ","8:01 P ","8:02 P ","8:03 P ","8:09 P ","8:10 P ","8:13 P ","8:15 P ","8:17 P ","8:19 P ","8:22 P ","8:23 P ","8:26 P "
"8:20 P ","8:21 P ","8:22 P ","8:23 P ","8:29 P ","8:30 P ","8:33 P ","8:35 P ","8:37 P ","8:39 P ","8:42 P ","8:43 P ","8:46 P "
"8:40 P ","8:41 P ","8:42 P ","8:43 P ","8:49 P ","8:50 P ","8:53 P ","8:55 P ","8:57 P ","8:59 P ","9:02 P ","9:03 P ","9:06 P "
"9:00 P ","9:01 P ","9:02 P ","9:03 P ","9:09 P ","9:10 P ","9:13 P ","9:15 P ","9:17 P ","9:19 P ","9:22 P ","9:23 P ","9:26 P "
"9:20 P ","9:21 P ","9:22 P ","9:23 P ","9:29 P ","9:30 P ","9:33 P ","9:35 P ","9:37 P ","9:39 P ","9:42 P ","9:43 P ","9:46 P "
"9:40 P ","9:41 P ","9:42 P ","9:43 P ","9:49 P ","9:50 P ","9:53 P ","9:55 P ","9:57 P ","9:59 P ","10:02 P ","10:03 P ","10:06 P "
"10:00 P ","10:01 P ","10:02 P ","10:03 P ","10:09 P ","10:10 P ","10:13 P ","10:15 P ","10:17 P ","10:19 P ","10:22 P ","10:23 P ","10:26 P "
"10:20 P ","10:21 P ","10:22 P ","10:23 P ","10:29 P ","10:30 P ","10:33 P ","10:35 P ","10:37 P ","10:39 P ","10:42 P ","10:43 P ","10:46 P "
"10:40 P ","10:41 P ","10:42 P ","10:43 P ","10:49 P ","10:50 P ","10:53 P ","10:55 P ","10:57 P ","10:59 P ","11:02 P ","11:03 P ","11:06 P "
"11:00 P ","11:01 P ","11:02 P ","11:03 P ","11:09 P ","11:10 P ","11:13 P ","11:15 P ","11:17 P ","11:19 P ","11:22 P ","11:23 P ","11:26 P "
"11:20 P ","11:21 P ","11:22 P ","11:23 P ","11:29 P ","11:30 P ","11:33 P ","11:35 P ","11:37 P ","11:39 P ","11:42 P ","11:43 P ","11:46 P "
"11:40 P ","11:41 P ","11:42 P ","11:43 P ","11:49 P ","11:50 P ","11:53 P ","11:55 P ","11:57 P ","11:59 P ","12:02 A ","12:03 A ","12:06 A"
